station_code,construction_id,station_name_tw,station_name_en,line_code,line_name,address,lat,lon,geohash
R19,R23,石牌,Shipai,R,淡水信義線,台北市北投區石牌路一段200號,25.114523,121.515559,wsqqv5uyty2j
R20,R24,唭哩岸,Qilian,R,淡水信義線,台北市北投區東華街二段301號,25.120872,121.506252,wsqquvn5svun
R21,R25,奇岩,Qiyan,R,淡水信義線,台北市北投區三合街二段489號,25.125491,121.501132,wsqquvfqtdfr
R22,R26,北投,Beitou,R,淡水信義線,台北市北投區光明路1號,25.131841,121.498633,wsqquz0ee6ep
R22A,R27,新北投,Xinbeitou,R,淡水信義線,台北市北投區大業路700號,25.136933,121.50253,wsqrhb53npuy
R23,R28,復興崗,Fuxinggang,R,淡水信義線,台北市北投區中央北路三段53巷10號,25.137474,121.485444,wsqrh2ph2hb9
R24,R29,忠義,Zhongyi,R,淡水信義線,台北市北投區中央北路四段301號,25.130969,121.47341,wsqqunynx85m
R25,R30,關渡,Guandu,R,淡水信義線,台北市北投區大度路三段296巷51號,25.125633,121.467102,wsqqujcxkt7y
R26,R31,竹圍,Zhuwei,R,淡水信義線,新北市淡水區民權路50號,25.13694,121.459479,wsqr5bh16cpz
R27,R32,紅樹林,Hongshulin,R,淡水信義線,新北市淡水區中正東路二段68號,25.154042,121.458872,wsqr5g5suv71
R28,R33,淡水,Tamsui,R,淡水信義線,新北市淡水區中正路1號,25.167818,121.445561,wsqr5t9vntmd
G01,G1,新店,Xindian,G,松山新店線,新北市新店區北宜路一段2號,24.957855,121.537584,wsqmvxkyncrh
G02,G2,新店區公所,Xindian District Office,G,松山新店線,新北市新店區北新路一段295號,24.967393,121.54131,wsqqj9pttg3k
G03,G3,七張,Qizhang,G,松山新店線,新北市新店區北新路二段150號,24.975169,121.542942,wsqqjf8fgufq
G03A,G1A,小碧潭,Xiaobitan,G,松山新店線,新北市新店區中央路151號4樓,24.971907,121.530339,wsqqj3zxyhug
G04,G4,大坪林,Dapinglin,G,松山新店線,新北市新店區北新路三段190號,24.982899,121.541352,wsqqjezxyvbt
G05,G5,景美,Jingmei,G,松山新店線,台北市文山區羅斯福路六段393號,24.9921276,121.5406037,wsqqjtxjtq68
G06,G6,萬隆,Wanlong,G,松山新店線,台北市文山區羅斯福路五段214號,25.001853,121.539051,wsqqjxqn35hy
G07,G7,公館,Gongguan,G,松山新店線,台北市中正區羅斯福路四段74號B1,25.014908,121.534216,wsqqm9fd2kzd
G08,G9,台電大樓,Taipower Building,G,松山新店線,台北市中正區羅斯福路三段126之5號B1,25.020725,121.528168,wsqqm6yh791y
G09,G10,古亭,Guting,G,松山新店線,台北市中正區羅斯福路二段164之1號B1,25.026357,121.522873,wsqqm7fm05jd
G10,G11,中正紀念堂,Chiang Kai-Shek Memorial Hall,G,松山新店線,台北市中正區羅斯福路一段8之1號B1,25.032729,121.51827,wsqqmjnfhyvk
G11,G12,小南門,Xiaonanmen,G,松山新店線,台北市中正區愛國西路22號B1,25.035547,121.510857,wsqqmj9d8hjz
G12,G13,西門,Ximen,G,松山新店線,台北市中正區寶慶路32之1號B1,25.04209,121.508303,wsqqkyz8sxvt
G13,G14,北門,Beimen,G,松山新店線,台北市大同區塔城街10號,25.049554,121.510184,wsqqt01h0x24
G14,G16,中山,Zhongshan,G,松山新店線,台北市中山區南京西路16號,25.052685,121.520392,wsqqt28qqqgz
G15,G17,松江南京,Songjiang Nanjing,G,松山新店線,台北市中山區松江路126號B1,25.052015,121.533075,wsqqt89dtfhf
G16,G18,南京復興,Nanjing Fuxing,G,松山新店線,台北市松山區南京東路三段253號,25.052319,121.544011,wsqqtb9skdxr
G17,G19,台北小巨蛋,Taipei Arena,G,松山新店線,台北市松山區南京東路四段10-1號,25.051836,121.55153,wsqqtbx1ebty
G18,G21,南京三民,Nanjing Sanmin,G,松山新店線,台北市松山區南京東路五段237號,25.051652,121.564708,wsqqw288rn2j
G19,G22,松山,Songshan,G,松山新店線,台北市松山區八德路四段742號,25.050118,121.577706,wsqqw84ptbkn
O01,O19,南勢角,Nanshijiao,O,中和新蘆線,新北市中和區捷運路6號,24.990045,121.509237,wsqqjj23d6n1
O02,O18,景安,Jingan,O,中和新蘆線,新北市中和區景平路486號,24.993905,121.505113,wsqqhyj243df
O03,O17,永安市場,Yongan Market,O,中和新蘆線,新北市中和區中和路388號,25.002876,121.511231,wsqqjp9u2cuu
O04,O16,頂溪,Dingxi,O,中和新蘆線,新北市永和區永和路二段168號B1,25.013821,121.515485,wsqqm1suh40y
O05,O15,古亭,Guting,O,中和新蘆線,台北市中正區羅斯福路二段164之1號B1,25.026357,121.522873,wsqqm7fm05jd
O06,O14,東門,Dongmen,O,中和新蘆線,台北市大安區信義路二段166號B1,25.033847,121.528739,wsqqmmq88z7f
O07,O13,忠孝新生,Zhongxiao Xinsheng,O,中和新蘆線,台北市大安區新生南路一段67號,25.042356,121.532905,wsqqmwcd3cw0
O08,O12,松江南京,Songjiang Nanjing,O,中和新蘆線,台北市中山區松江路126號B1,25.052015,121.533075,wsqqt89dtfhf
O09,O11,行天宮,Xingtian Temple,O,中和新蘆線,台北市中山區松江路316號B1,25.059718,121.533185,wsqqt9cz2qnb
